MANDT,VBELN,POSNR,ARKTX,NETWR,WAERK,ERDAT,ERZET,KUNNR_ANA
100,42,10,Laptop MTO- Production-10-Dlfy,1200.00,GBP,2025-04-28,09:23:46 AM,17100001
100,43,10,Laptop MTO- Production-10-Dlfy,1300.00,GBP,2025-04-30,11:38:10 AM,17100001
100,44,10,Laptop MTO- Production-10-Dlfy,1200.00,GBP,2025-04-30,04:54:15 PM,17100001
100,45,10,Laptop MTO- Production-10-Dlfy,1200.00,GBP,2025-05-06,03:23:08 PM,17100001
100,46,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-05-28,12:30:50 PM,17100001
100,47,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-05-29,03:38:34 PM,17100001
100,48,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-05-30,03:48:06 PM,17100001
100,49,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-06-03,05:02:39 PM,17100001
100,50,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-06-03,05:13:53 PM,17100001
100,51,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-06-04,04:47:17 PM,17100001
100,52,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-06-04,04:57:35 PM,17100001
100,53,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-06-09,02:37:08 PM,17100001
100,54,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-06-09,02:47:08 PM,17100001
100,55,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-06-10,01:44:10 PM,17100001
100,56,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-06-11,02:02:37 PM,17100001
100,57,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-06-11,02:07:15 PM,17100001
100,58,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-06-12,02:25:11 PM,17100001
100,59,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-06-12,03:20:15 PM,17100001
100,60,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-06-16,01:57:51 PM,17100001
100,61,10,Laptop MTO- Production-10-Dlfy,70000.00,GBP,2025-06-16,02:04:57 PM,17100001
100,62,10,Laptop MTO- Production-10-Dlfy,70000.00,GBP,2025-06-17,03:16:47 PM,17100001
100,63,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-06-17,03:26:37 PM,17100001
100,64,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-06-19,08:17:45 AM,17100001
100,65,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-06-20,04:53:57 PM,17100001
100,66,10,Laptop MTO- Production-10-Dlfy,80000.00,GBP,2025-06-20,04:59:04 PM,17100001
100,67,10,Laptop MTO- Production-10-Dlfy,70000.00,GBP,2025-06-23,09:50:05 AM,17100001
100,68,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-06-23,10:02:07 AM,17100001
100,69,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-06-23,10:04:38 AM,17100001
100,70,10,Laptop MTO- Production-10-Dlfy,90000.00,GBP,2025-06-24,11:30:47 AM,17100001
100,71,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-06-24,11:35:44 AM,17100001
100,72,10,Laptop MTO- Production-10-Dlfy,90000.00,GBP,2025-06-25,10:40:57 AM,17100001
100,73,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-06-25,10:48:46 AM,17100001
100,74,10,Laptop MTO- Production-10-Dlfy,80000.00,GBP,2025-06-30,03:24:20 PM,17100001
100,75,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-06-30,03:38:59 PM,17100001
100,76,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-06-30,05:25:57 PM,17100001
100,77,10,Laptop MTO- Production-10-Dlfy,70000.00,GBP,2025-06-30,05:36:00 PM,17100001
100,78,10,Laptop MTO- Production-10-Dlfy,80000.00,GBP,2025-07-01,03:19:07 PM,17100001
100,79,10,Laptop MTO- Production-10-Dlfy,60000.00,GBP,2025-07-01,03:28:21 PM,17100001
100,80,10,Laptop MTO- Production-10-Dlfy,80000.00,GBP,2025-07-02,11:55:32 AM,17100001
100,81,10,Laptop MTO- Production-10-Dlfy,100000.00,GBP,2025-07-02,12:03:52 PM,17100001
100,82,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-07-02,12:14:02 PM,17100001
100,83,10,Laptop MTO- Production-10-Dlfy,60000.00,GBP,2025-07-02,01:53:04 PM,17100001
100,84,10,Laptop MTO- Production-10-Dlfy,80000.00,GBP,2025-07-03,02:00:56 PM,17100001
100,85,10,Laptop MTO- Production-10-Dlfy,80000.00,GBP,2025-07-03,07:21:21 PM,17100001
100,86,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-07-03,07:28:16 PM,17100001
100,87,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-03,07:33:43 PM,17100001
100,88,10,Laptop MTO- Production-10-Dlfy,60000.00,GBP,2025-07-04,12:44:16 PM,17100001
100,89,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-07-04,12:49:45 PM,17100001
100,90,10,Laptop MTO- Production-10-Dlfy,100000.00,GBP,2025-07-04,02:40:37 PM,17100001
100,91,10,Laptop MTO- Production-10-Dlfy,90000.00,GBP,2025-07-04,03:13:48 PM,17100001
100,92,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-07-07,11:28:49 AM,17100001
100,93,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-07,11:34:22 AM,17100001
100,94,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-07-08,04:06:21 PM,17100001
100,95,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-08,04:10:44 PM,17100001
100,96,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-09,01:33:10 PM,17100001
100,97,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-07-09,01:37:38 PM,17100001
100,98,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-10,12:05:54 PM,17100001
100,99,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-07-10,12:12:26 PM,17100001
100,100,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-11,12:09:48 PM,17100001
100,101,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-07-11,12:20:27 PM,17100001
100,102,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-15,04:47:24 PM,17100001
100,103,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-07-15,04:52:46 PM,17100001
100,104,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-16,12:20:57 PM,17100001
100,105,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-07-16,12:26:09 PM,17100001
100,106,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-17,12:58:02 PM,17100001
100,107,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-07-17,01:05:46 PM,17100001
100,108,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-18,01:20:00 PM,17100001
100,109,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-07-18,01:25:47 PM,17100001
100,110,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-07-21,04:17:04 PM,17100001
100,111,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-07-21,04:26:03 PM,17100001
100,112,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-07-24,03:51:54 PM,17100001
100,113,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-07-24,04:41:28 PM,17100001
100,114,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-07-25,03:36:18 PM,17100001
100,115,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-07-25,03:41:02 PM,17100001
100,116,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-07-31,01:41:48 PM,17100001
100,117,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-08-01,02:02:17 PM,17100001
100,118,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-08-08,01:27:14 PM,17100001
100,119,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-08-13,02:03:39 PM,17100001
100,120,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-08-13,06:41:28 PM,17100001
100,121,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-08-14,09:41:00 AM,17100001
100,122,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-08-18,12:15:45 PM,17100001
100,123,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-08-18,12:23:47 PM,17100001
100,124,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-08-18,12:29:24 PM,17100001
100,125,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-08-25,11:03:17 AM,17100001
100,126,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-08-25,11:10:32 AM,17100001
100,127,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-08-26,01:33:57 PM,17100001
100,129,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-08-26,01:39:49 PM,17100001
100,130,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-08-27,09:56:00 AM,17100001
100,131,10,Laptop MTO- Production-10-Dlfy,80000.00,GBP,2025-08-27,10:09:03 AM,17100001
100,132,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-08-28,01:56:17 PM,17100001
100,133,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-08-28,02:00:05 PM,17100001
100,134,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-02,08:08:46 AM,17100001
100,135,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-02,08:21:37 AM,17100001
100,136,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-02,01:58:09 PM,17100001
100,137,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-02,02:03:10 PM,17100001
100,138,10,Laptop MTO- Production-10-Dlfy,90000.00,GBP,2025-09-03,01:33:18 PM,17100001
100,139,10,Laptop MTO- Production-10-Dlfy,70000.00,GBP,2025-09-03,01:37:44 PM,17100001
100,140,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-09,12:32:57 PM,17100001
100,141,10,Laptop MTO- Production-10-Dlfy,70000.00,GBP,2025-09-09,12:39:49 PM,17100001
100,142,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-09,12:45:23 PM,17100001
100,143,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-10,10:11:47 AM,17100001
100,144,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-10,10:16:37 AM,17100001
100,145,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-10,10:23:28 AM,17100001
100,146,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-09-10,11:19:06 AM,17100001
100,147,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-11,12:24:18 PM,17100001
100,148,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-11,12:36:28 PM,17100001
100,149,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-09-11,12:42:57 PM,17100001
100,150,10,Laptop MTO- Production-10-Dlfy,60000.00,GBP,2025-09-11,12:48:39 PM,17100001
100,151,10,Laptop MTO- Production-10-Dlfy,70000.00,GBP,2025-09-11,12:49:21 PM,17100001
100,152,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-11,12:49:57 PM,17100001
100,153,10,Laptop MTO- Production-10-Dlfy,60000.00,GBP,2025-09-11,12:50:38 PM,17100001
100,154,10,Laptop MTO- Production-10-Dlfy,100000.00,GBP,2025-09-11,12:51:21 PM,17100001
100,155,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-09-12,09:17:21 AM,17100001
100,156,10,Laptop MTO- Production-10-Dlfy,2000.00,GBP,2025-09-16,01:29:30 PM,17100001
100,157,10,Laptop MTO- Production-10-Dlfy,1000.00,GBP,2025-09-16,02:22:43 PM,4100000020
100,158,10,Laptop MTO- Production-10-Dlfy,1200.00,GBP,2025-09-16,02:33:59 PM,4100000021
100,159,10,Laptop MTO- Production-10-Dlfy,500.00,GBP,2025-09-16,02:40:53 PM,4100000022
100,160,10,Laptop MTO- Production-10-Dlfy,900.00,GBP,2025-09-16,02:43:02 PM,4100000023
100,161,10,Laptop MTO- Production-10-Dlfy,600.00,GBP,2025-09-16,02:45:16 PM,4100000024
100,162,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-17,05:18:37 AM,17100001
100,163,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-22,10:40:02 AM,17100001
100,164,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-22,10:45:25 AM,17100001
100,165,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-09-22,10:49:14 AM,17100001
100,166,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-22,10:53:16 AM,17100001
100,167,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-22,02:41:37 PM,17100001
100,168,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-22,02:47:20 PM,17100001
100,169,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-22,02:54:52 PM,17100001
100,170,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-24,04:03:21 PM,17100001
100,171,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-24,04:08:02 PM,17100001
100,172,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-09-24,04:11:31 PM,17100001
100,173,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-25,01:09:21 PM,17100001
100,174,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-25,01:13:46 PM,17100001
100,175,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-26,08:23:22 AM,17100001
100,176,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-26,08:26:57 AM,17100001
100,177,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-09-29,10:22:53 AM,17100001
100,178,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-09-29,10:29:42 AM,17100001
100,179,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-09-29,01:48:34 PM,17100001
100,180,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-09-29,02:10:36 PM,17100001
100,181,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-09-29,02:14:24 PM,17100001
100,182,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-09-30,09:58:18 AM,17100001
100,183,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-09-30,10:12:39 AM,17100001
100,184,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-01,09:42:59 AM,17100001
100,185,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-01,09:47:37 AM,17100001
100,186,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-03,10:18:15 AM,17100001
100,187,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-03,10:22:32 AM,17100001
100,188,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-07,12:02:06 PM,17100001
100,189,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-07,12:08:18 PM,17100001
100,190,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-08,03:39:04 PM,17100001
100,191,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-08,03:47:52 PM,17100001
100,192,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-08,03:58:18 PM,17100001
100,193,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-09,12:31:49 PM,17100001
100,194,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-09,12:40:10 PM,17100001
100,195,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-10,11:28:48 AM,17100001
100,196,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-10,11:34:22 AM,17100001
100,197,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-13,06:45:59 AM,17100001
100,198,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-10-13,06:49:41 AM,17100001
100,199,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-13,10:26:05 AM,17100001
100,200,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-13,10:29:50 AM,17100001
100,201,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-22,01:15:08 PM,17100001
100,202,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-22,01:18:23 PM,17100001
100,203,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-22,02:48:29 PM,17100001
100,204,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-22,02:53:19 PM,17100001
100,205,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-29,09:31:41 AM,17100001
100,206,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-29,09:36:08 AM,17100001
100,207,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-10-29,09:41:10 AM,17100001
100,208,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-10-29,09:50:48 AM,17100001
100,209,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-10-29,10:06:14 AM,17100001
100,210,10,Laptop MTO- Production-10-Dlfy,100000.00,GBP,2025-10-29,01:20:33 PM,17100001
100,211,10,Laptop MTO- Production-10-Dlfy,110000.00,GBP,2025-10-29,01:25:41 PM,17100001
100,212,10,Laptop MTO- Production-10-Dlfy,150000.00,GBP,2025-10-29,01:30:52 PM,17100001
100,213,10,Laptop MTO- Production-10-Dlfy,200000.00,GBP,2025-10-29,01:36:37 PM,17100001
100,214,10,Laptop MTO- Production-10-Dlfy,50000.00,GBP,2025-10-31,09:40:40 AM,17100001
100,215,10,Laptop MTO- Production-10-Dlfy,150000.00,GBP,2025-10-31,09:46:56 AM,17100001
100,216,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-31,09:51:15 AM,17100001
100,217,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-10-31,09:57:37 AM,17100001
100,218,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-10-31,10:02:53 AM,17100001
100,219,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-10-31,10:15:22 AM,17100001
100,220,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-11-03,08:28:01 AM,17100001
100,221,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-03,10:39:44 AM,17100001
100,222,10,Laptop MTO- Production-10-Dlfy,40000.00,GBP,2025-11-03,12:58:58 PM,17100001
100,223,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-03,01:04:36 PM,17100001
100,224,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-03,01:08:37 PM,17100001
100,225,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-04,01:28:43 PM,17100001
100,226,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-04,01:33:24 PM,17100001
100,227,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-05,03:20:18 PM,17100001
100,228,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-05,03:25:42 PM,17100001
100,229,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-11-05,03:28:48 PM,17100001
100,230,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-05,03:32:11 PM,17100001
100,231,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-06,08:55:22 AM,17100001
100,232,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-06,09:00:17 AM,17100001
100,233,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-11-06,09:04:12 AM,17100001
100,234,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-07,10:08:21 AM,17100001
100,235,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-07,10:15:45 AM,17100001
100,236,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-07,11:49:09 AM,17100001
100,237,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-10,07:24:12 AM,17100001
100,238,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-10,07:28:05 AM,17100001
100,239,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-11,09:05:54 AM,17100001
100,240,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-11,09:11:24 AM,17100001
100,241,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-12,08:45:35 AM,17100001
100,242,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-12,08:56:39 AM,17100001
100,243,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-13,09:29:31 AM,17100001
100,244,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-13,09:35:12 AM,17100001
100,245,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-13,09:40:35 AM,17100001
100,246,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-17,09:10:20 AM,17100001
100,247,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-17,09:19:31 AM,17100001
100,248,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-17,09:35:54 AM,17100001
100,249,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-18,10:34:22 AM,17100001
100,250,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-18,10:42:26 AM,17100001
100,251,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-19,08:44:56 AM,17100001
100,252,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-11-19,08:49:53 AM,17100001
100,253,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-21,11:45:48 AM,17100001
100,254,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-11-21,12:08:16 PM,17100001
100,255,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-24,09:03:07 AM,17100001
100,256,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-24,09:17:27 AM,17100001
100,257,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-25,09:03:05 AM,17100001
100,258,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-25,09:07:23 AM,17100001
100,259,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-25,10:28:25 AM,17100001
100,260,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-25,10:46:27 AM,17100001
100,261,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-26,10:02:04 AM,17100001
100,262,10,Laptop MTO- Production-10-Dlfy,20000.00,GBP,2025-11-26,10:06:17 AM,17100001
100,263,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-26,12:55:36 PM,17100001
100,264,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-27,10:22:25 AM,17100001
100,265,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-11-27,10:36:49 AM,17100001
100,266,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-11-28,10:01:48 AM,17100001
100,267,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-11-28,10:09:13 AM,17100001
100,268,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-12-01,09:20:57 AM,17100001
100,269,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-12-01,09:27:13 AM,17100001
100,270,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2025-12-12,01:06:22 PM,17100001
100,271,10,Laptop MTO- Production-10-Dlfy,30000.00,GBP,2025-12-12,01:09:52 PM,17100001
